ticker,less_Q1,less_Q1_pct,bet_Q1_Q2,bet_Q1_Q2_pct,bet_Q2_Q3,bet_Q2_Q3_pct,greater_Q3,greater_Q3_pct,total
IJH,0,0,1,0.004784689,111,0.5311005,97,0.4641148,209
IJK,14,0.07954545,21,0.1193182,79,0.4488636,62,0.3522727,176
IJJ,1,0.005555556,12,0.06666667,90,0.5,77,0.4277778,180
IWR,0,0,0,0,46,0.3285714,94,0.6714286,140
IWP,0,0,19,0.08154506,102,0.4377682,112,0.4806867,233
IWS,0,0,8,0.05194805,50,0.3246753,96,0.6233766,154
IMCG,1,0.006666667,13,0.08666667,78,0.52,58,0.3866667,150
IMCB,0,0,0,0,24,0.2376238,77,0.7623762,101
IMCV,12,0.1142857,19,0.1809524,61,0.5809524,13,0.1238095,105
